 ;Total;
 ;Price;Volume
Time;USD;BTC
06.09.2012 00:00;11.078;7743.09317136
07.09.2012 00:00;11.03;4287.1844661
08.09.2012 00:00;10.97;4537.51582937
09.09.2012 00:00;10.824;2477.81732556
10.09.2012 00:00;10.95;5312.49688191
11.09.2012 00:00;11.04;11368.420499
12.09.2012 00:00;11.276;5858.62172342
13.09.2012 00:00;11.195966194;4728.87010648
14.09.2012 00:00;73.0;5971.39903834
15.09.2012 00:00;11.5;1958.56685924
16.09.2012 00:00;11.75;4024.16660775
17.09.2012 00:00;11.65;6363.34289909
18.09.2012 00:00;11.9;8588.43328101
19.09.2012 00:00;12.352;5396.38422028
20.09.2012 00:00;12.356;5304.91722064
21.09.2012 00:00;12.196;4771.32208075
22.09.2012 00:00;75.88;2217.79752852
23.09.2012 00:00;11.92;3797.40404731
24.09.2012 00:00;11.784144462;8432.67402206
25.09.2012 00:00;75.5;6050.76141345
26.09.2012 00:00;75.51;5586.78329888
27.09.2012 00:00;75.0;6440.75160375
28.09.2012 00:00;12.28;6010.231614
29.09.2012 00:00;12.278509315;3489.82701985
30.09.2012 00:00;12.1;1419.46879226
01.10.2012 00:00;11.953;10191.0397951
02.10.2012 00:00;77.8;14756.0561564
03.10.2012 00:00;12.55;13574.5805577
04.10.2012 00:00;12.6;7960.69923621
05.10.2012 00:00;12.554;7892.57441
06.10.2012 00:00;12.388;3234.98754533
07.10.2012 00:00;11.798;7348.10153315
08.10.2012 00:00;11.62;8453.83312081
09.10.2012 00:00;11.969;4960.33403345
10.10.2012 00:00;11.905;6623.75139786
11.10.2012 00:00;11.863;5359.09880201
12.10.2012 00:00;11.912090942;3353.47347265
13.10.2012 00:00;11.85;6586.89668117
14.10.2012 00:00;11.79;3188.01404665
15.10.2012 00:00;11.53364152;6361.70197215
16.10.2012 00:00;11.749196473;3085.23281764
17.10.2012 00:00;11.88;5850.43830193
18.10.2012 00:00;11.8;3688.01204599
19.10.2012 00:00;73.0;12512.7911865
20.10.2012 00:00;72.1;3509.22378209
21.10.2012 00:00;11.466965324;3969.4097785
22.10.2012 00:00;11.189;7136.18054122
23.10.2012 00:00;11.459923176;7845.14755181
24.10.2012 00:00;11.4;5770.26679333
25.10.2012 00:00;66.15;8989.32364581
26.10.2012 00:00;62.16;9640.31429885
27.10.2012 00:00;67.0;4035.31545392
28.10.2012 00:00;10.346;3299.67730754
29.10.2012 00:00;10.8;7654.82916095
30.10.2012 00:00;10.49;7422.36692859
31.10.2012 00:00;11.0;6060.61330419
01.11.2012 00:00;10.793241995;5396.45755007
02.11.2012 00:00;10.26;7927.32639795
03.11.2012 00:00;10.351;6878.83904089
04.11.2012 00:00;10.351;8467.02187889
05.11.2012 00:00;10.497;12582.3720365
06.11.2012 00:00;10.657;7133.11975354
07.11.2012 00:00;10.755;8389.79171673
08.11.2012 00:00;10.81;7678.21476464
09.11.2012 00:00;10.8;6121.88764342
10.11.2012 00:00;10.66;2224.88364994
11.11.2012 00:00;10.519;5023.54048715
12.11.2012 00:00;10.73;9355.75047603
13.11.2012 00:00;10.666639344;6282.66864849
14.11.2012 00:00;67.91;3584.68481961
15.11.2012 00:00;10.85;6229.05519772
16.11.2012 00:00;11.490785991;14138.2581458
17.11.2012 00:00;11.461;4524.60390391
18.11.2012 00:00;11.56;3986.35642495
19.11.2012 00:00;11.591;10080.4569729
20.11.2012 00:00;11.603;4592.86965226
21.11.2012 00:00;11.67;5997.45444861
22.11.2012 00:00;11.86;15519.9725384
23.11.2012 00:00;12.16;5302.44984407
24.11.2012 00:00;12.25;3083.81349651
25.11.2012 00:00;77.03;3955.43755792
26.11.2012 00:00;12.2;7110.45769552
27.11.2012 00:00;12.0;10178.7560745
28.11.2012 00:00;12.022693148;7444.00689687
29.11.2012 00:00;12.15;7573.53038729
30.11.2012 00:00;12.43;6482.43867799
01.12.2012 00:00;12.3;4560.62901445
02.12.2012 00:00;12.46;3698.15202168
03.12.2012 00:00;12.34;9365.86823547
04.12.2012 00:00;79.0;10750.66021
05.12.2012 00:00;13.105933514;7756.34974182
06.12.2012 00:00;13.8083481175;8054.90791544
07.12.2012 00:00;82.5;9974.31985472
08.12.2012 00:00;13.1489953575;2636.76666852
09.12.2012 00:00;13.089909314;4149.17900816
10.12.2012 00:00;13.3;10660.2156288
11.12.2012 00:00;83.6;5247.74943301
12.12.2012 00:00;13.45;7684.34855015
13.12.2012 00:00;13.397;7319.093692
14.12.2012 00:00;13.386087822;9800.44985984
15.12.2012 00:00;84.15;2752.79059739
16.12.2012 00:00;13.478423837;4229.66685956
17.12.2012 00:00;13.2;10827.5729572
18.12.2012 00:00;13.0;6723.90011269
19.12.2012 00:00;13.07;9610.96836928
20.12.2012 00:00;13.35;8487.30492323
21.12.2012 00:00;13.7399649647;5968.57903698
22.12.2012 00:00;13.191799163;4148.3367326
23.12.2012 00:00;13.07;2065.05225617
24.12.2012 00:00;13.129485608;3059.00843272
25.12.2012 00:00;13.11;3068.5840417
26.12.2012 00:00;81.41;3627.23852459
27.12.2012 00:00;13.09;5529.29892064
28.12.2012 00:00;13.18;7736.61838308
29.12.2012 00:00;13.22;2306.74653667
30.12.2012 00:00;13.187;2338.30357354
31.12.2012 00:00;13.284;2997.5925946
01.01.2013 00:00;82.287142857;3698.43842165
02.01.2013 00:00;13.216;2420.54278062
03.01.2013 00:00;13.12;5840.63955411
04.01.2013 00:00;13.19;4886.66425741
05.01.2013 00:00;13.114547314;6223.96368539
06.01.2013 00:00;13.13;1801.75081896
07.01.2013 00:00;82.93;7033.68077869
08.01.2013 00:00;13.519;10860.0149596
09.01.2013 00:00;13.624;7312.93722898
10.01.2013 00:00;13.933947856;9359.38125243
11.01.2013 00:00;14.041;4264.66758991
12.01.2013 00:00;87.0;3520.68579839
13.01.2013 00:00;86.0;3633.2942255
14.01.2013 00:00;14.1;6598.52854751
15.01.2013 00:00;14.2;7957.65246313
16.01.2013 00:00;14.53;8823.91252867
17.01.2013 00:00;15.321;10268.4611438
18.01.2013 00:00;15.283;11374.6188056
19.01.2013 00:00;15.282686497;3317.90889789
20.01.2013 00:00;15.38;5140.44207805
21.01.2013 00:00;16.52;16774.1042531
22.01.2013 00:00;17.35;10046.135818
23.01.2013 00:00;105.72;9920.35542738
24.01.2013 00:00;105.79;27100.858236
25.01.2013 00:00;106.63;9792.2394789
26.01.2013 00:00;58.4796929474;4838.60997786
27.01.2013 00:00;17.315146179;6745.20617014
28.01.2013 00:00;18.6;9587.87210449
29.01.2013 00:00;19.0579205054;14403.0296928
30.01.2013 00:00;19.1;7181.38613986
31.01.2013 00:00;19.988264747;13626.8429697
01.02.2013 00:00;20.363142521;7505.74697408
02.02.2013 00:00;19.821209783;9922.40344525
03.02.2013 00:00;20.32;6357.89722299
04.02.2013 00:00;20.2978447466;7480.83973475
05.02.2013 00:00;20.5;5222.539936
06.02.2013 00:00;20.749759981;9224.56403729
07.02.2013 00:00;21.8859863753;10922.554867
08.02.2013 00:00;22.338;5753.84573825
09.02.2013 00:00;23.252184426;6138.55649663
10.02.2013 00:00;23.222;5874.69318936
11.02.2013 00:00;24.16255179;7215.9355063
12.02.2013 00:00;24.188;15194.0505451
13.02.2013 00:00;35.0352138727;9109.04410529
14.02.2013 00:00;27.4;18384.5117354
15.02.2013 00:00;27.43;7628.19584901
16.02.2013 00:00;170.0;6684.3730998
17.02.2013 00:00;26.5;11526.7071265
18.02.2013 00:00;26.55;5655.73048835
19.02.2013 00:00;32.1335612107;16364.3689312
20.02.2013 00:00;189.99;7304.29350496
21.02.2013 00:00;190.0;7967.42837405
22.02.2013 00:00;30.4;12427.3471471
23.02.2013 00:00;29.54;11773.0758682
24.02.2013 00:00;29.78;3808.07005052
25.02.2013 00:00;30.43;4806.70302648
26.02.2013 00:00;197.34856667;8457.6513506
27.02.2013 00:00;31.31;7732.4911627
28.02.2013 00:00;33.501691541;15223.9273979
01.03.2013 00:00;219.49;7820.01042601
02.03.2013 00:00;219.03;5109.01209578
03.03.2013 00:00;32.105;3509.21575091
04.03.2013 00:00;34.29;12500.8888865
05.03.2013 00:00;40.75;15240.5929952
06.03.2013 00:00;42.3006481635;23618.5821326
07.03.2013 00:00;41.68;29259.1156392
08.03.2013 00:00;284.995;7778.19750893
09.03.2013 00:00;277.757272885;9958.04137943
10.03.2013 00:00;300.258;6822.53422145
11.03.2013 00:00;45.935271543;10415.8694727
12.03.2013 00:00;42.225422051;25047.2684512
13.03.2013 00:00;46.0066601008;10564.8508087
14.03.2013 00:00;45.0666508569;8760.16535407
15.03.2013 00:00;46.9100159431;5070.66270301
16.03.2013 00:00;304.0;4799.93668057
17.03.2013 00:00;43.893698156;4886.96098004
18.03.2013 00:00;312.0;13944.1787467
19.03.2013 00:00;54.353;22512.4059064
20.03.2013 00:00;64.094985608;15317.6885318
21.03.2013 00:00;65.979;24614.047512
22.03.2013 00:00;65.865002154;15256.5921784
23.03.2013 00:00;412.86;30068.2355913
24.03.2013 00:00;453.0;10242.2648563
25.03.2013 00:00;73.1937307228;16666.7229394
26.03.2013 00:00;488.0;15194.330396
27.03.2013 00:00;133.439638242;20595.7348356
28.03.2013 00:00;591.06726457;29937.1703673
29.03.2013 00:00;87.100759707;17631.6862661
30.03.2013 00:00;609.0;7211.94167853
31.03.2013 00:00;96.15;5069.86565962
01.04.2013 00:00;103.73;24227.3788236
02.04.2013 00:00;116.588153353;25231.1004106
03.04.2013 00:00;129.102678797;46610.7196291
04.04.2013 00:00;134.67;20197.4547987
05.04.2013 00:00;134.66;17587.8415291
06.04.2013 00:00;140.499270312;11649.2473682
07.04.2013 00:00;151.6;19972.2194782
08.04.2013 00:00;433.155362796;33852.1195768
