Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price;
28.01.2015 15:42;254.37;255;254.3;255;92.01;23447.26;254.84;
28.01.2015 15:43;254.32;255;254.3;254.88;23.77;6058.22;254.91;
28.01.2015 15:44;254.87;254.9;254.31;254.89;14.26;3634.45;254.81;
28.01.2015 15:45;254.85;254.85;254.43;254.43;1.56;397.03;254.8;
28.01.2015 15:46;254.78;254.86;254.37;254.37;4.54;1155;254.63;
28.01.2015 15:47;254.3;254.88;254.3;254.56;14.33;3649.72;254.65;
28.01.2015 15:48;254.55;254.55;254.48;254.48;6.7;1705.82;254.49;
28.01.2015 15:49;254.33;254.48;253.76;254.32;7.64;1942.54;254.32;
28.01.2015 15:50;254.25;254.25;254.17;254.17;0.2;51.11;254.23;
28.01.2015 15:51;254.16;254.25;254.16;254.25;10.23;2601.09;254.22;
28.01.2015 15:52;254.24;254.25;254.24;254.25;3.5;890.31;254.25;
28.01.2015 15:53;254.24;254.24;254.17;254.17;0.48;123;254.19;
28.01.2015 15:54;253.89;254.16;253.5;253.5;60.73;15409.94;253.73;
28.01.2015 15:55;253.88;253.99;253.5;253.74;6.15;1558.72;253.6;
28.01.2015 15:56;253.74;253.8;253.26;253.7;2.62;665.16;253.75;
28.01.2015 15:57;253.6;253.6;253.6;253.6;0.15;37.82;253.6;
28.01.2015 15:58;253.39;253.6;253.39;253.6;5.52;1397.93;253.41;
28.01.2015 15:59;253.5;253.5;253.5;253.5;0.29;73.17;253.5;
28.01.2015 16:00;253.5;253.99;253.5;253.5;5.26;1334.82;253.73;
28.01.2015 16:01;253.5;253.5;252.96;252.96;37;9372.78;253.32;
28.01.2015 16:02;252.98;253.99;252.98;253.99;19.69;4994.63;253.65;
28.01.2015 16:03;0;0;0;0;0;0;0;
28.01.2015 16:04;253.93;253.93;253.91;253.91;0.76;192.97;253.91;
28.01.2015 16:05;253.24;253.3;253.24;253.3;2.47;626.67;253.27;
28.01.2015 16:06;253.92;254.48;253.34;254.47;66.74;16961.02;254.15;
28.01.2015 16:07;253.37;253.37;253.37;253.37;0.41;104.52;253.37;
28.01.2015 16:08;254.36;254.43;254.36;254.43;3.72;947.26;254.39;
28.01.2015 16:09;254.05;254.05;254.05;254.05;0.23;57.76;254.05;
28.01.2015 16:10;254.46;254.49;254.14;254.32;12.3;3129.95;254.42;
28.01.2015 16:11;254.15;254.15;254.14;254.14;8;2033.13;254.14;
28.01.2015 16:12;254.3;254.32;253.98;253.98;0.74;188.7;254.17;
28.01.2015 16:13;253.51;253.51;253.37;253.37;23.68;6002.07;253.46;
28.01.2015 16:14;253.94;253.96;253.39;253.39;5.36;1358.12;253.42;
28.01.2015 16:15;253.96;253.96;253.82;253.82;1.19;301.1;253.94;
28.01.2015 16:16;253.82;253.82;253.82;253.82;1.84;467.79;253.82;
28.01.2015 16:17;253.82;253.82;253.82;253.82;0.29;74.11;253.82;
28.01.2015 16:18;253.64;253.64;253.64;253.64;1.72;435.75;253.64;
28.01.2015 16:19;0;0;0;0;0;0;0;
28.01.2015 16:20;253.82;253.82;253.82;253.82;0.18;46.91;253.82;
28.01.2015 16:21;253.82;253.82;253.82;253.82;3.06;776.05;253.82;
28.01.2015 16:22;253.82;253.82;253.82;253.82;0.46;116.76;253.82;
28.01.2015 16:23;253.82;253.82;253.75;253.75;10.03;2546.93;253.81;
28.01.2015 16:24;253.82;253.96;253.7;253.96;12.65;3211.5;253.88;
28.01.2015 16:25;0;0;0;0;0;0;0;
28.01.2015 16:26;254.2;254.27;254.2;254.27;5.06;1285.77;254.26;
28.01.2015 16:27;254.27;254.27;254.03;254.27;1.95;496.11;254.26;
28.01.2015 16:28;254.27;254.27;254.08;254.27;1.35;342.67;254.26;
28.01.2015 16:29;254.27;254.27;254.27;254.27;9.32;2369.52;254.27;
28.01.2015 16:30;254.27;254.32;254.27;254.32;1.56;395.75;254.3;
28.01.2015 16:31;0;0;0;0;0;0;0;
28.01.2015 16:32;254.45;254.45;254.45;254.45;0.04;10.92;254.45;
28.01.2015 16:33;254.45;254.45;253.01;254.45;30.71;7785.97;253.52;
28.01.2015 16:34;254.39;254.4;254.37;254.4;4.18;1063.36;254.39;
28.01.2015 16:35;0;0;0;0;0;0;0;
28.01.2015 16:36;254.4;254.45;254.4;254.4;31.7;8065.56;254.43;
28.01.2015 16:37;254.4;254.4;254.4;254.4;0.5;127.31;254.4;
28.01.2015 16:38;254;254;253.96;254;3.92;995.58;253.97;
28.01.2015 16:39;254;254;254;254;17.95;4559.3;254;
28.01.2015 16:40;254;254;253.82;253.82;5.72;1452.56;253.94;
28.01.2015 16:41;254;254;254;254;0.58;147.37;254;
28.01.2015 16:42;253.84;253.84;253.84;253.84;9;2284.56;253.84;
28.01.2015 16:43;253.82;254;253.01;253.01;31.98;8111.16;253.65;
28.01.2015 16:44;253.06;254;253;254;59.31;15009.21;253.05;
28.01.2015 16:45;0;0;0;0;0;0;0;
28.01.2015 16:46;252.97;253.99;252.74;253.99;19.97;5051.5;252.98;
28.01.2015 16:47;254.22;254.22;252.92;252.92;1.21;306.27;254.11;
28.01.2015 16:48;253.97;253.98;253;253.96;7.13;1809.84;253.97;
28.01.2015 16:49;253.92;253.92;253.91;253.91;1.63;413.88;253.92;
28.01.2015 16:50;253.98;254;253.95;254;4.5;1142.38;253.98;
28.01.2015 16:51;253.99;253.99;253.99;253.99;2.13;541;253.99;
28.01.2015 16:52;253.99;253.99;253.55;253.55;16.02;4061.9;253.56;
28.01.2015 16:53;253.55;253.55;253.55;253.55;0.44;110.48;253.55;
28.01.2015 16:54;253.55;253.55;253.37;253.37;13.35;3383.37;253.5;
28.01.2015 16:55;253.37;253.55;253.36;253.55;14.89;3771.94;253.37;
28.01.2015 16:56;253.36;253.55;252.73;253.53;0.74;186.6;253.11;
28.01.2015 16:57;253.53;253.55;253.53;253.55;1.77;447.94;253.55;
28.01.2015 16:58;252.95;253.55;252.95;253.55;2.8;710.37;253.54;
28.01.2015 16:59;253.55;253.55;253.55;253.55;4.74;1201.51;253.55;
28.01.2015 17:00;253.55;253.9;253.55;253.9;1.47;372.44;253.87;
28.01.2015 17:01;253.9;253.92;253.9;253.92;0.23;59.33;253.91;
28.01.2015 17:02;253.5;254;253.5;253.99;81.34;20642.98;253.8;
28.01.2015 17:03;253.99;253.99;253.98;253.98;0.46;116.43;253.98;
28.01.2015 17:04;253.96;253.96;253.96;253.96;4.28;1086.95;253.96;
