Date;CNY
10.05.13 0:00;6,1417
11.05.13 0:00;6,1417
12.05.13 0:00;6,1417
13.05.13 0:00;6,1465
14.05.13 0:00;6,1428
15.05.13 0:00;6,1459
16.05.13 0:00;6,149
17.05.13 0:00;6,1412
18.05.13 0:00;6,1412
19.05.13 0:00;6,1412
20.05.13 0:00;6,1389
21.05.13 0:00;6,1356
22.05.13 0:00;6,1311
23.05.13 0:00;6,134
24.05.13 0:00;6,1316
25.05.13 0:00;6,1316
26.05.13 0:00;6,1316
27.05.13 0:00;6,1212
28.05.13 0:00;6,1215
29.05.13 0:00;6,1267
30.05.13 0:00;6,1309
31.05.13 0:00;6,1348
01.06.13 0:00;6,1348
02.06.13 0:00;6,1348
03.06.13 0:00;6,1317
04.06.13 0:00;6,1287
05.06.13 0:00;6,1278
06.06.13 0:00;6,1362
07.06.13 0:00;6,1335
08.06.13 0:00;6,1335
09.06.13 0:00;6,1335
10.06.13 0:00;6,1335
11.06.13 0:00;6,1335
12.06.13 0:00;6,1335
13.06.13 0:00;6,1344
14.06.13 0:00;6,1308
15.06.13 0:00;6,1308
16.06.13 0:00;6,1308
17.06.13 0:00;6,125
18.06.13 0:00;6,1285
19.06.13 0:00;6,1269
20.06.13 0:00;6,1282
21.06.13 0:00;6,1334
22.06.13 0:00;6,1334
23.06.13 0:00;6,1334
24.06.13 0:00;6,1451
25.06.13 0:00;6,1453
26.06.13 0:00;6,147
27.06.13 0:00;6,149
28.06.13 0:00;6,1376
29.06.13 0:00;6,1376
30.06.13 0:00;6,1376
01.07.13 0:00;6,1327
02.07.13 0:00;6,133
03.07.13 0:00;6,1308
04.07.13 0:00;6,1258
05.07.13 0:00;6,1326
06.07.13 0:00;6,1326
07.07.13 0:00;6,1326
08.07.13 0:00;6,1338
09.07.13 0:00;6,1295
10.07.13 0:00;6,1341
11.07.13 0:00;6,1352
12.07.13 0:00;6,1375
13.07.13 0:00;6,1375
14.07.13 0:00;6,1375
15.07.13 0:00;6,1376
16.07.13 0:00;6,135
17.07.13 0:00;6,1353
18.07.13 0:00;6,1413
19.07.13 0:00;6,1379
20.07.13 0:00;6,1379
21.07.13 0:00;6,1379
22.07.13 0:00;6,1409
23.07.13 0:00;6,1374
24.07.13 0:00;6,136
25.07.13 0:00;6,1347
26.07.13 0:00;6,1317
27.07.13 0:00;6,1317
28.07.13 0:00;6,1317
29.07.13 0:00;6,1325
30.07.13 0:00;6,1317
31.07.13 0:00;6,1289
01.08.13 0:00;6,1304
02.08.13 0:00;6,1295
03.08.13 0:00;6,1295
04.08.13 0:00;6,1295
05.08.13 0:00;6,1247
06.08.13 0:00;6,1217
07.08.13 0:00;6,1192
08.08.13 0:00;6,1214
09.08.13 0:00;6,1219
10.08.13 0:00;6,1219
11.08.13 0:00;6,1219
12.08.13 0:00;6,1223
13.08.13 0:00;6,1218
14.08.13 0:00;6,1196
15.08.13 0:00;6,1125
16.08.13 0:00;6,115
17.08.13 0:00;6,115
18.08.13 0:00;6,115
19.08.13 0:00;6,1229
20.08.13 0:00;6,1246
21.08.13 0:00;6,1234
22.08.13 0:00;6,1211
23.08.13 0:00;6,121
24.08.13 0:00;6,121
25.08.13 0:00;6,121
26.08.13 0:00;6,1212
27.08.13 0:00;6,1217
28.08.13 0:00;6,1204
29.08.13 0:00;6,1204
30.08.13 0:00;6,1195
31.08.13 0:00;6,1195
01.09.13 0:00;6,1195
02.09.13 0:00;6,1196
03.09.13 0:00;6,1206
04.09.13 0:00;6,1201
05.09.13 0:00;6,1199
06.09.13 0:00;6,1205
07.09.13 0:00;6,1205
08.09.13 0:00;6,1205
09.09.13 0:00;6,121
10.09.13 0:00;6,12
11.09.13 0:00;6,1185
12.09.13 0:00;6,118
13.09.13 0:00;6,1188
14.09.13 0:00;6,1188
15.09.13 0:00;6,1188
16.09.13 0:00;6,1203
17.09.13 0:00;6,1215
18.09.13 0:00;6,1212
19.09.13 0:00;6,1212
20.09.13 0:00;6,1212
21.09.13 0:00;6,1212
22.09.13 0:00;6,1212
23.09.13 0:00;6,121
24.09.13 0:00;6,1209
25.09.13 0:00;6,12
26.09.13 0:00;6,1214
27.09.13 0:00;6,1199
28.09.13 0:00;6,1199
29.09.13 0:00;6,1199
30.09.13 0:00;6,1215
01.10.13 0:00;6,1215
02.10.13 0:00;6,1215
03.10.13 0:00;6,1215
04.10.13 0:00;6,1215
05.10.13 0:00;6,1215
06.10.13 0:00;6,1215
07.10.13 0:00;6,1215
08.10.13 0:00;6,1211
09.10.13 0:00;6,1211
10.10.13 0:00;6,1158
11.10.13 0:00;6,1206
12.10.13 0:00;6,1206
13.10.13 0:00;6,1206
14.10.13 0:00;6,1079
15.10.13 0:00;6,1026
16.10.13 0:00;6,0998
17.10.13 0:00;6,0982
18.10.13 0:00;6,0968
19.10.13 0:00;6,0968
20.10.13 0:00;6,0968
21.10.13 0:00;6,0926
22.10.13 0:00;6,0927
23.10.13 0:00;6,0835
24.10.13 0:00;6,082
25.10.13 0:00;6,084
26.10.13 0:00;6,084
27.10.13 0:00;6,084
28.10.13 0:00;6,0855
29.10.13 0:00;6,0902
30.10.13 0:00;6,0938
31.10.13 0:00;6,0945
01.11.13 0:00;6,0995
02.11.13 0:00;6,0995
03.11.13 0:00;6,0995
04.11.13 0:00;6,099
05.11.13 0:00;6,0968
06.11.13 0:00;6,0927
07.11.13 0:00;6,0908
08.11.13 0:00;6,0906
09.11.13 0:00;6,0906
10.11.13 0:00;6,0906
11.11.13 0:00;6,0914
12.11.13 0:00;6,092
13.11.13 0:00;6,0929
14.11.13 0:00;6,0922
